epoch,iter,trn_L1,trn_PSNR,trn_FPS,val_L1,val_PSNR,val_FPS
1,1000,2.076,16.047,30.316,0.263,25.264,32.018
2,2000,1.239,25.684,31.392,0.220,27.050,31.709
2,3000,1.104,27.153,31.591,0.199,27.898,31.360
3,4000,1.016,28.178,31.619,0.187,28.329,31.729
4,5000,0.963,28.769,31.848,0.177,28.592,32.144
4,6000,0.921,29.251,31.968,0.169,29.043,31.505
5,7000,0.882,29.707,31.274,0.165,29.342,31.376
6,8000,0.858,29.978,31.551,0.160,29.407,30.736
6,9000,0.831,30.258,32.049,0.162,28.954,31.588
7,10000,0.810,30.606,31.103,0.153,29.720,30.843
8,11000,0.790,30.801,31.267,0.161,28.266,31.071
8,12000,0.768,31.077,32.051,0.155,29.572,31.023
9,13000,0.757,31.207,30.972,0.147,29.783,30.551
10,14000,0.743,31.326,31.384,0.147,29.711,31.074
10,15000,0.730,31.587,32.623,0.145,30.088,30.936
11,16000,0.717,31.692,31.170,0.144,30.041,30.998
12,17000,0.706,31.920,31.345,0.139,30.405,30.945
12,18000,0.694,32.016,31.952,0.138,30.421,30.760
13,19000,0.684,32.154,31.848,0.140,30.064,31.201
14,20000,0.680,32.246,31.980,0.138,30.370,31.115
14,21000,0.666,32.438,32.374,0.137,30.354,30.632
15,22000,0.661,32.502,30.945,0.146,29.500,31.391
16,23000,0.657,32.595,31.287,0.133,30.550,31.259
16,24000,0.643,32.778,31.635,0.132,30.518,30.968
17,25000,0.636,32.886,31.296,0.134,30.244,31.011
18,26000,0.635,32.952,31.215,0.130,30.718,30.597
18,27000,0.626,33.033,31.504,0.132,30.579,31.200
19,28000,0.622,33.051,31.202,0.137,30.135,31.246
20,29000,0.616,33.140,31.849,0.131,30.231,30.988
20,30000,0.613,33.261,31.711,0.130,30.416,30.414
21,31000,0.604,33.407,31.716,0.127,30.831,31.437
22,32000,0.601,33.375,31.395,0.127,30.812,31.413
22,33000,0.595,33.478,31.942,0.126,30.821,31.389
23,34000,0.593,33.525,31.431,0.125,30.788,30.996
24,35000,0.585,33.694,31.325,0.125,30.716,31.373
24,36000,0.584,33.664,31.624,0.125,30.946,31.334
25,37000,0.580,33.758,31.639,0.125,30.952,31.373
26,38000,0.574,33.840,31.366,0.134,30.078,30.823
26,39000,0.569,33.904,31.683,0.124,30.880,31.186
27,40000,0.571,33.872,31.780,0.123,30.964,31.086
28,41000,0.563,34.002,31.903,0.134,29.888,30.996
28,42000,0.558,34.111,32.135,0.125,30.610,31.163
29,43000,0.558,34.043,31.303,0.125,30.723,31.021
30,44000,0.555,34.139,31.227,0.125,30.849,31.104
30,45000,0.548,34.235,31.743,0.124,30.935,30.653
31,46000,0.548,34.224,31.234,0.121,31.003,31.530
32,47000,0.547,34.320,31.435,0.124,30.389,30.761
32,48000,0.542,34.298,29.087,0.121,30.967,30.458
33,49000,0.542,34.320,31.191,0.128,30.455,31.164
34,50000,0.537,34.438,29.863,0.119,31.197,28.557
34,51000,0.533,34.503,28.877,0.121,30.976,27.773
35,52000,0.531,34.532,26.951,0.122,30.986,25.949
36,53000,0.531,34.526,27.750,0.121,31.167,26.054
36,54000,0.527,34.627,26.774,0.121,31.105,24.845
37,55000,0.524,34.647,22.103,0.122,31.007,23.572
38,56000,0.522,34.681,25.115,0.120,31.105,23.558
38,57000,0.520,34.749,25.602,0.136,29.461,22.498
39,58000,0.519,34.750,23.142,0.131,29.884,22.299
40,59000,0.516,34.839,23.327,0.118,31.218,22.519
40,60000,0.512,34.833,23.256,0.117,31.303,22.779
41,61000,0.514,34.792,23.182,0.122,30.904,22.660
42,62000,0.505,34.974,22.808,0.117,31.244,22.572
42,63000,0.511,34.840,24.177,0.117,31.198,22.626
43,64000,0.508,34.920,24.199,0.117,31.210,22.141
44,65000,0.503,34.999,23.635,0.116,31.329,23.413
44,66000,0.504,35.028,24.211,0.120,31.010,23.825
45,67000,0.499,35.102,23.762,0.117,31.269,24.121
46,68000,0.498,35.110,24.113,0.118,30.991,23.838
46,69000,0.498,35.065,24.205,0.117,31.123,23.878
47,70000,0.495,35.150,25.258,0.118,31.222,24.729
48,71000,0.496,35.108,24.628,0.119,31.187,24.753
48,72000,0.491,35.194,25.505,0.119,30.717,25.641
49,73000,0.491,35.247,25.596,0.120,31.037,26.022
50,74000,0.492,35.186,25.872,0.117,31.307,25.959
50,75000,0.484,35.373,25.236,0.114,31.465,25.206
51,76000,0.488,35.252,24.853,0.118,31.189,24.753
52,77000,0.484,35.331,24.879,0.117,31.128,25.884
52,78000,0.485,35.319,26.106,0.118,30.695,22.782
53,79000,0.486,35.331,23.687,0.115,31.414,23.469
54,80000,0.480,35.394,24.194,0.115,31.263,23.844
54,81000,0.478,35.429,24.151,0.124,30.337,24.077
55,82000,0.478,35.439,23.425,0.121,30.585,24.119
56,83000,0.478,35.435,24.466,0.116,31.215,23.553
56,84000,0.475,35.493,24.683,0.115,30.998,23.040
57,85000,0.474,35.603,23.017,0.114,31.362,23.493
58,86000,0.474,35.518,24.452,0.114,31.389,25.125
58,87000,0.472,35.554,25.030,0.114,31.425,25.501
59,88000,0.472,35.587,25.597,0.113,31.383,25.847
60,89000,0.471,35.538,25.305,0.114,31.420,25.139
60,90000,0.467,35.671,25.864,0.114,31.450,23.858
61,91000,0.467,35.635,23.769,0.115,30.986,23.663
62,92000,0.465,35.679,24.001,0.117,31.092,23.713
62,93000,0.466,35.697,24.448,0.115,30.993,23.245
63,94000,0.466,35.675,24.437,0.114,31.082,24.334
64,95000,0.461,35.751,24.522,0.113,31.454,24.402
64,96000,0.463,35.706,24.599,0.115,31.324,23.989
65,97000,0.460,35.797,24.341,0.114,31.348,23.752
66,98000,0.462,35.772,24.439,0.117,31.209,23.785
66,99000,0.460,35.794,24.078,0.113,31.218,23.927
67,100000,0.458,35.849,23.340,0.113,31.425,25.402
